source	edgeType	target
R_PFK	consumes	M_atp_c
R_PFK	consumes	M_f6p_c
R_PFK	produces	M_adp_c
R_PFK	produces	M_fdp_c
R_PFK	produces	M_h_c
Pfkm	catalyzes	R_PFK
Pfkp	catalyzes	R_PFK
Pfkl	catalyzes	R_PFK
R_PGI	consumes	M_g6p_c
R_PGI	produces	M_f6p_c
Gpi	catalyzes	R_PGI
R_PGK	consumes	M_3pg_c
R_PGK	consumes	M_atp_c
R_PGK	produces	M_13dpg_c
R_PGK	produces	M_adp_c
Pgk1	catalyzes	R_PGK
Pgk2	catalyzes	R_PGK
R_PGM	consumes	M_2pg_c
R_PGM	produces	M_3pg_c
Bpgm	catalyzes	R_PGM
Pgam1	catalyzes	R_PGM
Pgam2	catalyzes	R_PGM
R_PGMT	consumes	M_g1p_c
R_PGMT	produces	M_g6p_c
Pgm1	catalyzes	R_PGMT
Pgm2	catalyzes	R_PGMT
R_PYK	consumes	M_adp_c
R_PYK	consumes	M_h_c
R_PYK	consumes	M_pep_c
R_PYK	produces	M_atp_c
R_PYK	produces	M_pyr_c
Pkm	catalyzes	R_PYK
Pklr	catalyzes	R_PYK
R_TPI	consumes	M_dhap_c
R_TPI	produces	M_g3p_c
Tpi1	catalyzes	R_TPI
R_HEX1	consumes	M_atp_c
R_HEX1	consumes	M_glc_D_c
R_HEX1	produces	M_adp_c
R_HEX1	produces	M_g6p_c
R_HEX1	produces	M_h_c
Hk1	catalyzes	R_HEX1
Hk2	catalyzes	R_HEX1
Hk3	catalyzes	R_HEX1
Gck	catalyzes	R_HEX1
