name	type
Bpgm	gene
Gck	gene
Gpi	gene
Hk1	gene
Hk2	gene
Hk3	gene
M_13dpg_c	metabolite
M_2pg_c	metabolite
M_3pg_c	metabolite
M_adp_c	metabolite
M_atp_c	metabolite
M_dhap_c	metabolite
M_f6p_c	metabolite
M_fdp_c	metabolite
M_g1p_c	metabolite
M_g3p_c	metabolite
M_g6p_c	metabolite
M_glc_D_c	metabolite
M_h_c	metabolite
M_pep_c	metabolite
M_pyr_c	metabolite
Pfkl	gene
Pfkm	gene
Pfkp	gene
Pgam1	gene
Pgam2	gene
Pgk1	gene
Pgk2	gene
Pgm1	gene
Pgm2	gene
Pklr	gene
Pkm	gene
R_HEX1	reaction
R_PFK	reaction
R_PGI	reaction
R_PGK	reaction
R_PGM	reaction
R_PGMT	reaction
R_PYK	reaction
R_TPI	reaction
Tpi1	gene
