	motif	tf
0	MA0068.2	PAX4
1	MA0507.1	POU2F2
2	MA0784.1	POU1F1
3	MA0785.1	POU2F1
4	MA0786.1	POU3F1
5	MA0787.1	POU3F2
6	MA0788.1	POU3F3
7	MA0789.1	POU3F4
8	MA0792.1	POU5F1B
9	MA0068.2	PAX6
10	MA0068.2	PAX3
11	MA0068.2	PAX7
12	MA0507.1	HDX
13	MA0507.1	HMBOX1
14	MA0507.1	POU6F1
15	MA0507.1	POU6F2
16	MA0507.1	POU5F1
17	MA0507.1	POU5F2
18	MA0507.1	POU4F1
19	MA0507.1	POU4F2
20	MA0507.1	POU4F3
21	MA0507.1	POU3F1
22	MA0507.1	POU3F2
23	MA0507.1	POU3F3
24	MA0507.1	POU3F4
25	MA0507.1	POU2F1
26	MA0507.1	POU2F3
27	MA0507.1	POU1F1
28	MA0784.1	HDX
29	MA0784.1	HMBOX1
30	MA0784.1	POU6F1
31	MA0784.1	POU6F2
32	MA0784.1	POU5F1
33	MA0784.1	POU5F2
34	MA0784.1	POU4F1
35	MA0784.1	POU4F2
36	MA0784.1	POU4F3
37	MA0784.1	POU3F1
38	MA0784.1	POU3F2
39	MA0784.1	POU3F3
40	MA0784.1	POU3F4
41	MA0784.1	POU2F1
42	MA0784.1	POU2F2
43	MA0784.1	POU2F3
44	MA0785.1	HDX
45	MA0785.1	HMBOX1
46	MA0785.1	POU6F1
47	MA0785.1	POU6F2
48	MA0785.1	POU5F1
49	MA0785.1	POU5F2
50	MA0785.1	POU4F1
51	MA0785.1	POU4F2
52	MA0785.1	POU4F3
53	MA0785.1	POU3F1
54	MA0785.1	POU3F2
55	MA0785.1	POU3F3
56	MA0785.1	POU3F4
57	MA0785.1	POU2F2
58	MA0785.1	POU2F3
59	MA0785.1	POU1F1
60	MA0786.1	HDX
61	MA0786.1	HMBOX1
62	MA0786.1	POU6F1
63	MA0786.1	POU6F2
64	MA0786.1	POU5F1
65	MA0786.1	POU5F2
66	MA0786.1	POU4F1
67	MA0786.1	POU4F2
68	MA0786.1	POU4F3
69	MA0786.1	POU3F2
70	MA0786.1	POU3F3
71	MA0786.1	POU3F4
72	MA0786.1	POU2F1
73	MA0786.1	POU2F2
74	MA0786.1	POU2F3
75	MA0786.1	POU1F1
76	MA0787.1	HDX
77	MA0787.1	HMBOX1
78	MA0787.1	POU6F1
79	MA0787.1	POU6F2
80	MA0787.1	POU5F1
81	MA0787.1	POU5F2
82	MA0787.1	POU4F1
83	MA0787.1	POU4F2
84	MA0787.1	POU4F3
85	MA0787.1	POU3F1
86	MA0787.1	POU3F3
87	MA0787.1	POU3F4
88	MA0787.1	POU2F1
89	MA0787.1	POU2F2
90	MA0787.1	POU2F3
91	MA0787.1	POU1F1
92	MA0788.1	HDX
93	MA0788.1	HMBOX1
94	MA0788.1	POU6F1
95	MA0788.1	POU6F2
96	MA0788.1	POU5F1
97	MA0788.1	POU5F2
98	MA0788.1	POU4F1
99	MA0788.1	POU4F2
100	MA0788.1	POU4F3
101	MA0788.1	POU3F1
102	MA0788.1	POU3F2
103	MA0788.1	POU3F4
104	MA0788.1	POU2F1
105	MA0788.1	POU2F2
106	MA0788.1	POU2F3
107	MA0788.1	POU1F1
108	MA0789.1	HDX
109	MA0789.1	HMBOX1
110	MA0789.1	POU6F1
111	MA0789.1	POU6F2
112	MA0789.1	POU5F1
113	MA0789.1	POU5F2
114	MA0789.1	POU4F1
115	MA0789.1	POU4F2
116	MA0789.1	POU4F3
117	MA0789.1	POU3F1
118	MA0789.1	POU3F2
119	MA0789.1	POU3F3
120	MA0789.1	POU2F1
121	MA0789.1	POU2F2
122	MA0789.1	POU2F3
123	MA0789.1	POU1F1
